content,score,preprocess
"cape gw main game ini ajg, ga bener sistemnya, pilih kasih lagi",5,cape ajg tidak sistem pilih
"aku punya saran, tolong sistem mcgg nya ketika awal permainan itu ada pemilihan hero, kemudian ada pengambilan baru kristal, seperti di magic ches yang ada di ml dulu, soal nya yg sekarang gk menarik sama sekali, juga sinergi elementalis di adakan lagi",1,saran tolong sistem main pilih hero ambil kristal ches ml tidak tarik sinergi elementalis adakan
game apalah damage comander nyampe 28 30 kurangin lah main jadi gk lama langsung kalah damage comander yg di terima nya besar mau roll atas gimna mending gw hapus game nya,1,apa damage comander kurang tidak langsung kalah damage comander terima roll mending hapus
"aamon nerf woy,gak pernah lepas ni😹",5,aamon nerf woygak lepas nih
i love this game,5,i love this
terlalu susah,5,susah
"ga jelas ini game nya, tergantung hoki,kadang ga di kasih hoki,Gogo card suka ga jelas, blessing ga jelas,di kasih menang dulu,baru nanti di balikin lagi poin nya ke awal,kaya bukan ngpush tapi di jadiin boneka moonton",1,tidak gantung hokikadang tidak hokigogo card suka tidak blessing tidak jelasdi menang dulubaru balikin poin awalkaya bukan ngpush tapi jadi boneka
"Game setingan taikk, menang 1 X selanjut nya kalah terus ktmu lawan yg ga ngotak, dapet bintang 2 aja susah di awal, giliran dapet bintang 2 hero lawan udah bintang 3 ga imbang, apa lagi sistem miror anjayy udah tau ktmu miror nya ajah udah kalah di ketemuin sma yg asli, buat gogo card juga ga ngotak keliatan kalo mau di kalahin serba jelek bedan sma lawan serba dapet bagus",1,ting taikk menang lanjut kalah ketemu lawan tidak ngotak bintang susah gilir bintang hero lawan bintang tidak imbang sistem miror anjayy ketemu miror kalah ketemuin asli gogo card tidak ngotak kalahin serba jelek bedan lawan serba bagus
"Sempurna,Perfect.",5,sempurnaperfect
banyak bug,1,bug
gas bos qu,5,gas bos
bagusnya lagi klo ada mode yang bisa pake 2 skil comander mantap itu pasti,5,bagus mode skil comander mantap
"permainannya sungguh menarik, dan peningkatan dari segi buffdan nerf untuk membalance kan game lumayan bagus",5,main sungguh tarik tingkat segi buffdan nerf membalance lumayan bagus
sangatttttt bagussss,5,sangatttttt bagus
jika aku mendapatkan biji astro aku akan topup digem ini sebanyak-banyaknya,5,biji astro topup digem sebanyakbanyaknya
jegoss tenan ne iki,5,jegoss tenan iki
"sebenarnya bagus bagus saja game ny,hanya saja masalah saat mengunduh data,tidak bisa di jeda,kalo tujuan nya memang buat yang beli skin atau chess masuk akal,tapi tidak semua orang seperti itu,tolong ya.",4,bagus bagus nyhanya unduh datatidak jedakalo tuju beli skin masuk akaltapi tidak orang itutolong
okeee,5,okeee
baguss banget game nya pokoknya joss,5,bagus pokok joss
game nya bagus cocok buat santai,5,bagus cocok santai
asik dan lucu,5,asik lucu
malesnya update pake segala download data,2,malesnya update download data
"saya suka sekalii,game nya seru bangett!!",5,suka sekaliigame seru
Game kontooooI,1,kontooooi
game bawa pusing susah dapet Hero yg sama dengan sinergi...dijual semua Hero tetep gak keluar juga Hero nya ..,1,bawa pusing susah hero sinergidijual hero tidak hero
"gak jelas,, enakan seperti dulu ini harus tutor,, mana lama lagi gak bisa di skip",1,tidak enak tutor tidak skip
makin kesini makin gak jelas ggcdnya jadi males buat main lagi,1,kesini tidak ggcdnya malas
game sakit gilee nggak di kasi menang nggak setara,1,sakit gilee menang tara
"seruh si game nya saya, masa karakter Miya atau Wanwan ikut main jga ga seruh, jadi saya kasi bintang 3",3,seruh karakter miya wanwan tidak seruh bintang
"tolong beri saya keuntungan dalam mendapatkan Hero maupun gogocard, Nicke name Dio jambu 👍",5,tolong untung hero gogocard nicke name dio jambu
mantap 👍 rasanya kek dlu main tapi di S1 dan S2 serasa commander dlu udah gak bisa di pake di Season mana pun karena gak ada perubahan atau nerf,4,mantap tapi serasa commander tidak season tidak ubah nerf
seruu simpel,5,seru simpel
game apaan ini maen gak pernah di kasih menang selalu kalah terus menerus niat mau happy2 malah bikin darah tinggi,1,tidak menang kalah terus niat happy darah
game kon.......t....oooll,1,kontoooll
agak samaratakan dulu kehokian pemain,3,samaratakan hoki main
JANGAN DOWNLOAD GAME DARI MOONTON.......,1,jangan download
game biar GK gabut,5,biar tidak bosan
obat gabut,5,obat bosan
hero yang saya mau gak pernah dapat jadi kalah terus bukanya saya gak tau main ya,1,hero tidak kalah buka tidak
Funny game,5,funny
game anjj😡,1,anjj
GAME CACAD!!!,1,cacad
tidak bisa saya mainkan di menu terus saya,1,tidak main menu
ok siap tempur,5,ok tempur
kasih hero yg betol tot,1,hero betol entot
TOLONG GANTI SINERGI BARU MENJADI YANG LAMA !!!,1,tolong ganti sinergi
mengecewakan,1,kecewa
game gampang,5,gampang
sistem nya agak lain pemain ada 8 kadang kalau dah di dalam game duel nya sama² itu aja padahal pemain nya ada 8,3,sistem main kadang duel sama main
lumayan bagus,5,lumayan bagus
"Mantab, buat menbunuh waktu",5,mantap menbunuh
game hama,1,hama
wokey..asik,5,wokeyasik
"yang bener aja, kemungkinan buat keluar hero harga 4 30% tapi yang keluar banyaknya harga 2, gajelas. di keterangan hero yang tersisa aja masih 13 lagi tapi gaada keluar sama sekali aneh banget. yang keluar malah hero hero yang bukan sinerginya gua dah rol dari gold 50 sampe abis kacau.",1,hero harga tapi banyak harga terang hero sisa tapi aneh hero hero bukan sinergi rol gold habis kacau
"lebih seru msgic chees dari pada mcgg,maen mcgg masih banyak di atur sistem buat kemenangan nya",1,seru msgic chees mcggmaen atur sistem menang
rame bisa di mainkan kapan saja,5,rame main
jjjjj gak bagus,1,jjjjj tidak bagus
"game apa ini jelek semakin sering di mainkan semakin turun bintang semakin susah dapat commander game apa ini membosankan ,1 bulan di legend 1 naik turun naik turun bintang gk naik naik ke mytic ,setiap main dapat no.1/2 main berikut nya langsung turun no.8 lawan terasa berat dan kuat padahal hero nya lemah aneh,game aneh,setiap hari main bukan nya makin naik bintang malah makin turun ,hapus aja game ini jelek....",1,jelek main turun bintang susah commander bosan legend turun turun bintang tidak mytic nomor langsung turun nomor lawan berat kuat hero lemah anehgame anehsetiap bukan bintang turun hapus jelek
AMPE GLORI KEREN COK BENER BENER KAYA RANK!,5,glori keren cok rank
ini game yang saya sukai game ciptaan montoon ini emang bes,5,suka cipta montoon bes
"sampah, sering terjadinya eror",1,sampah eror
stupid roll system,1,stupid roll sistem
Game yang agak bergantung Hoki. gamenya Lancar Otak Langsung Oblak Terpana sama gameplaynya tiap round.,4,gantung untung lancar otak langsung oblak terpana gameplaynya round
"game gaje, blessing nya gamau ganti taii game gaje",1,blessing ganti taii
good joob,5,good joob
mantap lah pokoknya,5,mantap pokok
game busuk ngelag padahal aku udah nyoba lumayan seru hp aku Oppo aman aja buat main yang lain kalo nggak karena gamenya apa lagi,1,busuk lag coba lumayan seru ponsel oppo aman
dark sistemnya di kurangin.,5,dark sistem kurang
bagus banget njirr sumpahh bagus bagus,5,bagus anjir sumpah bagus bagus
Tolong tambahin lagi mode nostalgia yaitu CHESS TD. Game yg asik dan santai untuk dimainkan,4,tolong tambah mode nostalgia asik santai main
ngk gacor,5,tidak gacor
sangat jelek sinyalnya buruk susah dapat hero bagus,1,jelek sinyal buruk susah hero bagus
MOHON DONG MONTOON PENGATURAN FIGHT PER COMMANDER NYA DI BENERIN . masa gw lawan yg top² Mulu. yg keroco² kgak pernah dilawanin,2,mohon montoon atur fight commander benerin lawan top mulu keroco kagak dilawanin
nice gamee,5,nice gamee
Mantap ... Pengganti Chees Rush .. Bug Nya Jg Bagus Sama Dngn Mobile Legend .. Semua Hero Sangat Sama ... Terus Pertahankan Magic Chees GO Go .. Welcome ...,5,mantap ganti chees rush bug bagus mobile legend hero tahan chees welcome
kesal,1,kesal
sistem miror hapus aja soal nya teman saya kalahan,3,sistem miror hapus teman kalah
sangat bagus sekali game nya kak 🙏,5,bagus kak
game pay to win yg isinya dark system!,1,pay tapi win isi dark sistem
terus kreasi lebih keren,5,kreasi keren
"game nya bagus, tapi tingkatin donk rate buat dapet item atau hero yg diinginkan, masuk ke legend mau pake kombo atau comander apapun ttp tergantung keberuntungan, jarang banget pen dapet apa yg diinginkan jadi gapernah ngerasain juara 1 lagi stiap main🙃",3,bagus tapi tingkatin rate item hero masuk legend kombo comander apa gantung untung jarang pengin ngerasain juara
anjayyyy,4,anjay
tolong kasih wanwan terbang sama Moskov,5,tolong wanwan terbang moskov
wow,5,wow
sangat buruk,1,buruk
"matching ga seimbang,ngejar glory aja susah ga akurat pool shop nya,kalo modal hoki silahkan coba game gajelas ini",1,matching tidak seimbangngejar glory susah tidak akurat pool shop nyakalo modal untung silah coba
"seru buat Mabar padahal main 4 orang kumpul eh pas naik glory malah gak bisa main 4 lagi gak seru banget aturan itu ganti lah, masa gak bisa main 4 orng lagi di glory KLO sendiri bosen banget main game gini",2,seru mabar orang kumpul eh glory tidak tidak seru atur ganti tidak orang glory bosan
lumayan adu mekanik,5,lumayan adu mekanik
"gak mobanya, gak chessnya damagenya gak jelas. imba, satu hero bisa lawan banyak modal equipment sm skill commander. aneh! klo kek gitu gak usah dijudulin CHESS!!",1,tidak mobanya tidak chessnya damagenya tidak imba hero lawan modal equipment skill commander aneh tidak dijudulin
gem babi capek-capek gaca malah dapat yang harga satu koin terus padahal level uda 9,2,babi capekcapek gacha harga koin level
anjay mabar,5,anjay mabar
GG ueee,5,ueee
bagus bisa main sambil santai,5,bagus santai
over all lumayan. tapi kalau bisa perbaiki sistem banned. kalau bisa saya sarankan banned sesuai vote bukan suka-suka moonton.,3,over all lumayan tapi baik sistem banned saran banned sesuai vote bukan sukasuka
sangat puas dalam game..pokoknya enaklah terbaik...,5,puas gamepokoknya enak baik
"fitur idiot, pertama item jika terlalu banyak yang belum dipasang dan ingin scroll ke bawah(mencari mirror) tidak bisa",1,fitur idiot item belum pasang scroll bawahmencari mirror tidak
"nda jelas,, aga lain memang,, sudah menang awas setelah main berikutnya di kasih kalah lagi,, nda maau nasik imo karnah di persusah,, gua dapat lawan level 7 malah spin nga jelas dapat hero legend sampe bintang 3 ,,, kita boro-boro mau spin sampe habis gold naik level bintang 2 aja susah ,, padahal heronya banyak nda ada yang make,, game lucu aja nga masuk akal.",1,tidak aga menang awas kalah tidak nasik imo karnah susah lawan level spin hero legend bintang boroboro spin habis gold level bintang susah hero tidak pakai lucu masuk akal
"game ga jelas ga pernah di kasih hoki, untuk teman-teman tolong jangan download ini game, gamenya gj",1,tidak tidak untung temanteman tolong jangan download gj
"Game Terbaik di Indonesia, Saya Suka sekali main gi Game ini",5,baik indonesia suka gi
anehh,1,anehh
game tidak recommend,1,tidak recommend
gacha hero kek tai,1,gacha hero tahi
"lag banget, apalagi pas late game pada afk musuhnya. kurang ringan kebanyakan efek ga guna!",1,lag late afk musuh kurang ringan banyak efek tidak
Game ini cocok untuk waktu santai ditemani segelas kopi ☕️,5,cocok santai tani gelas kopi
Game jelek disarankan untuk tidak download in,1,jelek saran tidak download
tolong heronya jngn yg aneh2 dapatnya,5,tolong hero jangan aneh dapat
"parah bener update datanya lama amatt GX nyambung, jaringan bagus update data lemot bnr",1,parah update data tidak sambung koneksi bagus update data lambat
game ga adil,1,tidak adil
game nya lumayan seru,5,lumayan seru
"males, comander favorit kena nerf, bye bye tol",1,malas comander favorit kena nerf bye bye tol
"Sangat kikir apalagi setiap ada event gatcha skin langka, durasi event sampe 30hri eh event top up cuma 1x aja. Pake mode hemat pun di cicil gatcha diskon tiap hari sampe akhir event pun jumlah koin yang dikumpulkan setengah dari jumlah harga skinnya saja tidak sampai. Sangat Kecewa Menyesal main beginian!!!!!",1,kikir event gatcha skin langka durasi event eh event top up mode hemat cicil gatcha diskon event koin kumpul harga skinnya tidak kecewa sesal
game kikir mode costum practice doang aj ga di kasih sama semua player wajib banget ya harus konten kreator gitu game kikir,1,kikir mode costum practice doang tidak player wajib konten kreator kikir
gema nya bagus si,5,gema bagus
sanget puas,5,sanget puas
hapus aja ni game aku menang kok darah nya tinggal 1 alah game licik game ju di game jelek,1,hapus nih menang darah tinggal alah licik ju jelek
ngsi lawan yg pas lah gaje bet ni game,1,ngsi lawan nih
terlalu ribet karna dua aplikasi coba kaya dulu di satu aplikasi mudah dan ga ribet yang ini terlalu ribet dan gajelas,1,ribet aplikasi coba aplikasi mudah tidak ribet ribet
alah dipisah mls,5,alah pisah mls
seruh banget,5,seruh
"game asu, ngajak gelut",1,anjing ajak gelut
game yang sangat asyik Untuk roll heronya tlong lebih di mudahkan dapet hero incaran,5,asyik roll hero tlong mudah hero incar
sqngat menyenangkan sekali melawan player kain,5,sqngat senang lawan player kain
"kalo nyariin musuh selalu ga bener, gw masi maytic romawi salalu di temuin sama rank yg tinggi"", gw sampe stresss cooooooooo",1,nyariin musuh tidak maytic romawi salalu temuin rank stresss cooooooooo
"game apalh pelit, gk sekarat gk dpet hero 5 g",2,apalh pelit tidak sekarat tidak hero
sangat cocok untuk di gunakan untuk di gunakan untuk membuat sebuah karya seni yang tinggi,5,cocok karya seni
dari dulu main magic ches tapi sekarang makin aneh. sinergi aktif herro full bintang tiga. tapi kalah sama lawan yg herro murah bintang dua. setiap hari main gini terus mbosankan.,1,ches tapi aneh sinergi aktif herro full bintang tapi kalah lawan herro murah bintang mbosankan
game seru cocok untuk mengisi waktu luang,5,seru cocok isi luang
kenapa tiap mau menghubungkan akun masalah jaringan terus padahal main ml lancar,1,hubung akun koneksi ml lancar
"semenjak rilis sendiri apknya kupikir aneh banget sistem lawannya ,sering banget nemuin yang paling lemah lawannya sama yg paling kuat ..nggk kaya dulu ,jadi yg setara2 lawannya",1,semenjak rilis apknya pikir aneh sistem lawan temu lemah lawan kuat tara lawan
"Game menarik dan seru wajib coba, semoga kedepannya bisa lebih baik lagi.",5,tarik seru wajib coba moga depan
tolong di perhatikan lagi Hero yang di butuhkan gk pernah muncul di shop moonton giliran orang main pada wangi² capek moonton capekkk,1,tolong perhati hero butuh tidak muncul shop gilir orang wangi capek capekkk
pokoknya mantap game ini melatih otak,5,pokok mantap latih otak
"gem nya seru,main nya juga santai,ngasah otak juga,tapi tolong dong kasih event gratisan seperti kotak an buat main nya dll.biar tambah semangat main nya hehe",5,serumain santaingasah otak jugatapi tolong event gratis kotak dllbiar semangat hehe
bljr sinergi,5,ajar sinergi
menghibur & menemani saat santai...,5,hibur tani santai
goodgame,5,goodgame
sering klh,5,kalah
"gak bisa berkata""",5,tidak
mntap,5,mntap
madep boleh juga,5,madep
sangat asyik mainya,5,asyik mai
"game scam padahal sisa Hero masih banyak tapi kaga keluar"" level nya uda mentok 10 padahal, 100 gold habis tetep gadapet👎👎",2,scam sisa hero tapi kagak level mentok gold habis gadapet
ni game knp ya udh 4 hari ini stuck memuat pertandingan mulu gak bisa terus udh hapus data 2 kali sama uninstall masih sama aja gak bisa bug nya cepet diperbaiki lah,1,nih stuck muat tanding mulu tidak hapus data uninstall tidak bug cepat baik
great,5,great
mantap bikin setres,5,mantap stres
game bagus cuma kalo hero legend sudah bintang 3 susah nge counter beda sama dulu masih ada stars folls blade bisa ngurangin bintang hero,5,bagus hero legend bintang susah nge counter beda stars folls blade ngurangin bintang hero
like like,5,like like
bagus game nya dan seru buat di mainin dan bisa ngisi waktu luang ketika bosan,5,bagus seru mainin ngisi luang bosan
