preprocess,kata_kunci,score,predicted_aspect,details
epik lawan lejen mitik tidak imbang,"['epik', 'imbang', 'lawan', 'mitik', 'lejen', 'tidak']","{'effectiveness': 0.8, 'satisfaction': 1.8}",satisfaction,"{'effectiveness': [('lawan', 'kesalahan', 80.0)], 'satisfaction': [('imbang', 'bimbang', 100.0), ('lawan', 'kelelahan', 80.0)]}"
bagus harap depan main offline,"['offline', 'bagus', 'harap', 'depan', 'main']","{'effectiveness': 0, 'satisfaction': 2.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0), ('harap', 'harapan', 100.0), ('main', 'manfaat', 85.71428571428572)]}"
keren tapi hitung gold gold up level up gold ngurang,"['gold', 'hitung', 'keren', 'level', 'ngurang', 'tapi']","{'effectiveness': 0.8, 'satisfaction': 2.77}",satisfaction,"{'effectiveness': [('keren', 'kebenaran', 80.0)], 'satisfaction': [('keren', 'keren', 100.0), ('ngurang', 'curang', 90.9090909090909), ('tapi', 'mantap', 85.71428571428572)]}"
cucuk main koneksi tidak stabil,"['koneksi', 'stabil', 'main', 'cucuk', 'tidak']","{'effectiveness': 1.0, 'satisfaction': 0.86}",effectiveness,"{'effectiveness': [('stabil', 'stabil', 100.0)], 'satisfaction': [('main', 'manfaat', 85.71428571428572)]}"
asik asik,['asik'],"{'effectiveness': 0.86, 'satisfaction': 0.86}",effectiveness,"{'effectiveness': [('asik', 'akurasi', 85.71428571428572)], 'satisfaction': [('asik', 'motivasi', 85.71428571428572)]}"
sg ngawe dulinan mbeldos,"['mbeldos', 'dulinan', 'ngawe', 'sg']","{'effectiveness': 0.8, 'satisfaction': 0}",effectiveness,"{'effectiveness': [('ngawe', 'pengawasan', 80.0)], 'satisfaction': []}"
main senang,"['senang', 'main']","{'effectiveness': 0, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('senang', 'kesenangan', 100.0), ('main', 'manfaat', 85.71428571428572)]}"
lumayan tapi serap mbak habis kouta,"['habis', 'lumayan', 'mbak', 'tapi', 'serap', 'kouta']","{'effectiveness': 0.86, 'satisfaction': 3.57}",satisfaction,"{'effectiveness': [('mbak', 'maksud', 85.71428571428572)], 'satisfaction': [('lumayan', 'lumayan', 100.0), ('mbak', 'baik', 85.71428571428572), ('tapi', 'mantap', 85.71428571428572), ('serap', 'seru', 85.71428571428572)]}"
mantaap,['mantaap'],"{'effectiveness': 0, 'satisfaction': 0.91}",satisfaction,"{'effectiveness': [], 'satisfaction': [('mantaap', 'mantap', 90.9090909090909)]}"
judi,['judi'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
tidak gogocard premium client,"['gogocard', 'premium', 'client', 'tidak']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
bagus tapi tolong jangan hapus sinergi astro,"['astro', 'sinergi', 'tolong', 'bagus', 'jangan', 'tapi', 'hapus']","{'effectiveness': 1.8, 'satisfaction': 3.62}",satisfaction,"{'effectiveness': [('tolong', 'pertolongan', 100.0), ('jangan', 'dukungan', 80.0)], 'satisfaction': [('bagus', 'bagus', 100.0), ('jangan', 'kesenangan', 90.9090909090909), ('tapi', 'mantap', 85.71428571428572), ('hapus', 'puas', 85.71428571428572)]}"
enak seru,"['enak', 'seru']","{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('seru', 'seru', 100.0)]}"
bjir,['bjir'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
orang tidak mikir faktor untung bukan skill untung bagus tidak bagus mah tidak menang nih,"['bukan', 'untung', 'tidak', 'skill', 'faktor', 'nih', 'menang', 'orang', 'bagus', 'mikir']","{'effectiveness': 1.6, 'satisfaction': 4.4}",satisfaction,"{'effectiveness': [('bukan', 'bug', 80.0), ('nih', 'meraih', 80.0)], 'satisfaction': [('bukan', 'menurunkan', 80.0), ('nih', 'nilai', 80.0), ('menang', 'tenang', 90.9090909090909), ('orang', 'curang', 88.88888888888889), ('bagus', 'bagus', 100.0)]}"
tidak dirugiin mulu seru emosi,"['emosi', 'dirugiin', 'tidak', 'seru', 'mulu']","{'effectiveness': 1.86, 'satisfaction': 1.8}",effectiveness,"{'effectiveness': [('emosi', 'opsi', 85.71428571428572), ('mulu', 'mulus', 100.0)], 'satisfaction': [('emosi', 'membosankan', 80.0), ('seru', 'seru', 100.0)]}"
excellent,['excellent'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
lumayan,['lumayan'],"{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('lumayan', 'lumayan', 100.0)]}"
tolong tambah fitur blokir player teman jangan gabung teman mobile lagends,"['mobile', 'blokir', 'teman', 'gabung', 'player', 'fitur', 'tambah', 'tolong', 'lagends', 'jangan']","{'effectiveness': 2.8, 'satisfaction': 3.56}",satisfaction,"{'effectiveness': [('tolong', 'pertolongan', 100.0), ('lagends', 'lag', 100.0), ('jangan', 'dukungan', 80.0)], 'satisfaction': [('teman', 'aman', 85.71428571428572), ('gabung', 'gabut', 88.88888888888889), ('tambah', 'menambah', 90.9090909090909), ('jangan', 'kesenangan', 90.9090909090909)]}"
lumayan bagus sistem,"['bagus', 'lumayan', 'sistem']","{'effectiveness': 0, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0), ('lumayan', 'lumayan', 100.0)]}"
tidak untung,"['tidak', 'untung']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
butut,['butut'],"{'effectiveness': 0.8, 'satisfaction': 0}",effectiveness,"{'effectiveness': [('butut', 'bug', 80.0)], 'satisfaction': []}"
gaguna anjing,"['anjing', 'gaguna']","{'effectiveness': 0, 'satisfaction': 0.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('gaguna', 'ganggu', 80.0)]}"
tolong hasil vote sesuai jangan random baik hasil vote woyyyy,"['vote', 'hasil', 'woyyyy', 'random', 'tolong', 'sesuai', 'baik', 'jangan']","{'effectiveness': 3.6, 'satisfaction': 1.91}",effectiveness,"{'effectiveness': [('hasil', 'hasil', 100.0), ('tolong', 'pertolongan', 100.0), ('sesuai', 'selesai', 80.0), ('jangan', 'dukungan', 80.0)], 'satisfaction': [('baik', 'baik', 100.0), ('jangan', 'kesenangan', 90.9090909090909)]}"
gemnya ng tolong demek ragi menit ponsel tinggal hpnya persen mending uninsatal belum downlod jangan download kecewa,"['ponsel', 'menit', 'hpnya', 'tolong', 'download', 'ng', 'jangan', 'demek', 'persen', 'belum']","{'effectiveness': 2.8, 'satisfaction': 3.6}",satisfaction,"{'effectiveness': [('tolong', 'pertolongan', 100.0), ('ng', 'lengkap', 100.0), ('jangan', 'dukungan', 80.0)], 'satisfaction': [('menit', 'meningkatkan', 88.88888888888889), ('ng', 'kesenangan', 100.0), ('jangan', 'kesenangan', 90.9090909090909), ('persen', 'keren', 80.0)]}"
tarik seru,"['tarik', 'seru']","{'effectiveness': 0, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('tarik', 'tertarik', 100.0), ('seru', 'seru', 100.0)]}"
tagih,['tagih'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
saran babak sekamin war,"['war', 'babak', 'saran', 'sekamin']","{'effectiveness': 1.69, 'satisfaction': 1.66}",effectiveness,"{'effectiveness': [('war', 'lancar', 80.0), ('saran', 'pemeriksaan', 88.88888888888889)], 'satisfaction': [('war', 'segar', 80.0), ('babak', 'baik', 85.71428571428572)]}"
simpel ngandelin untung untung bau banget dimatch lawan powernya nonmirror mirror tidak ngurut tolong baik,"['mirror', 'nonmirror', 'ngurut', 'untung', 'banget', 'bau', 'powernya', 'tolong', 'ngandelin', 'lawan']","{'effectiveness': 5.11, 'satisfaction': 2.4}",effectiveness,"{'effectiveness': [('mirror', 'eror', 85.71428571428572), ('nonmirror', 'eror', 85.71428571428572), ('banget', 'bantuan', 80.0), ('bau', 'bantuan', 80.0), ('tolong', 'pertolongan', 100.0), ('lawan', 'kesalahan', 80.0)], 'satisfaction': [('banget', 'bimbang', 80.0), ('bau', 'bagus', 80.0), ('lawan', 'kelelahan', 80.0)]}"
tidak ngotak,"['tidak', 'ngotak']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
kadang dark sistem tapi seru,"['dark', 'sistem', 'kadang', 'tapi', 'seru']","{'effectiveness': 0, 'satisfaction': 2.66}",satisfaction,"{'effectiveness': [], 'satisfaction': [('kadang', 'sedang', 80.0), ('tapi', 'mantap', 85.71428571428572), ('seru', 'seru', 100.0)]}"
good job,"['good', 'job']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
orang ganti device tidak email password eh beres deteksi cerdas salah koneksi nunggu bug tuh benerin,"['email', 'password', 'device', 'ganti', 'salah', 'koneksi', 'bug', 'benerin', 'nunggu', 'deteksi']","{'effectiveness': 2.8, 'satisfaction': 4.11}",satisfaction,"{'effectiveness': [('email', 'detail', 80.0), ('salah', 'kesalahan', 100.0), ('bug', 'bug', 100.0)], 'satisfaction': [('email', 'adil', 85.71428571428572), ('password', 'puas', 85.71428571428572), ('ganti', 'santai', 80.0), ('bug', 'buruk', 80.0), ('nunggu', 'ganggu', 80.0)]}"
tolol tidak,"['tolol', 'tidak']","{'effectiveness': 0.8, 'satisfaction': 0}",effectiveness,"{'effectiveness': [('tolol', 'pertolongan', 80.0)], 'satisfaction': []}"
tidak meroling lawan,"['lawan', 'tidak', 'meroling']","{'effectiveness': 0.8, 'satisfaction': 0.8}",satisfaction,"{'effectiveness': [('lawan', 'kesalahan', 80.0)], 'satisfaction': [('lawan', 'kelelahan', 80.0)]}"
tingkat capai good job,"['good', 'job', 'tingkat', 'capai']","{'effectiveness': 1.0, 'satisfaction': 0.86}",effectiveness,"{'effectiveness': [('capai', 'capaian', 100.0)], 'satisfaction': [('tingkat', 'meningkatkan', 85.71428571428572)]}"
mantap tapi rued,"['mantap', 'rued', 'tapi']","{'effectiveness': 0, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('mantap', 'mantap', 100.0), ('tapi', 'mantap', 85.71428571428572)]}"
gm gogo update data,"['gogo', 'gm', 'update', 'data']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
asik senang diamond acak coba lihat skin,"['diamond', 'asik', 'lihat', 'skin', 'acak', 'senang', 'coba']","{'effectiveness': 1.66, 'satisfaction': 2.71}",satisfaction,"{'effectiveness': [('asik', 'akurasi', 85.71428571428572), ('lihat', 'pilihan', 80.0)], 'satisfaction': [('asik', 'motivasi', 85.71428571428572), ('skin', 'yakin', 85.71428571428572), ('senang', 'kesenangan', 100.0)]}"
asikk ngisi kabut teman mabar ber,"['kabut', 'ngisi', 'asikk', 'teman', 'ber', 'mabar']","{'effectiveness': 0.8, 'satisfaction': 4.43}",satisfaction,"{'effectiveness': [('ber', 'eror', 80.0)], 'satisfaction': [('kabut', 'gabut', 88.88888888888889), ('ngisi', 'fungsi', 88.88888888888889), ('asikk', 'menaikkan', 80.0), ('teman', 'aman', 85.71428571428572), ('ber', 'bersemangat', 100.0)]}"
rusak musuh hero bintang tidak store hero full sengaja nih,"['musuh', 'hero', 'bintang', 'sengaja', 'nih', 'rusak', 'tidak', 'store']","{'effectiveness': 2.66, 'satisfaction': 4.98}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('nih', 'meraih', 80.0), ('rusak', 'rusak', 100.0)], 'satisfaction': [('musuh', 'rusuh', 88.88888888888889), ('bintang', 'tenang', 80.0), ('sengaja', 'segar', 80.0), ('nih', 'nilai', 80.0), ('rusak', 'frustasi', 80.0), ('store', 'stres', 88.88888888888889)]}"
keren anjay,"['keren', 'anjay']","{'effectiveness': 0.8, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [('keren', 'kebenaran', 80.0)], 'satisfaction': [('keren', 'keren', 100.0)]}"
pilih hero awal biar enak ngebanyakin comander hero acak tidak seru asli susah banget,"['hero', 'acak', 'ngebanyakin', 'pilih', 'susah', 'biar', 'comander', 'asli', 'banget', 'awal']","{'effectiveness': 3.51, 'satisfaction': 3.66}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('pilih', 'pilihan', 100.0), ('asli', 'akurasi', 85.71428571428572), ('banget', 'bantuan', 80.0)], 'satisfaction': [('ngebanyakin', 'yakin', 100.0), ('susah', 'susah', 100.0), ('asli', 'motivasi', 85.71428571428572), ('banget', 'bimbang', 80.0)]}"
ribet ganti akun,"['akun', 'ganti', 'ribet']","{'effectiveness': 0.86, 'satisfaction': 1.6}",satisfaction,"{'effectiveness': [('akun', 'akurasi', 85.71428571428572)], 'satisfaction': [('ganti', 'santai', 80.0), ('ribet', 'ribut', 80.0)]}"
suka santai ngopi,"['ngopi', 'santai', 'suka']","{'effectiveness': 0.86, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [('ngopi', 'opsi', 85.71428571428572)], 'satisfaction': [('santai', 'santai', 100.0), ('suka', 'suka', 100.0)]}"
seru isi luang bareng teman lihat teman emosi bawa ketawa komedi,"['ketawa', 'komedi', 'teman', 'bareng', 'emosi', 'bawa', 'luang', 'isi', 'lihat', 'seru']","{'effectiveness': 2.46, 'satisfaction': 5.46}",satisfaction,"{'effectiveness': [('emosi', 'opsi', 85.71428571428572), ('isi', 'akurasi', 80.0), ('lihat', 'pilihan', 80.0)], 'satisfaction': [('teman', 'aman', 85.71428571428572), ('bareng', 'bimbang', 80.0), ('emosi', 'membosankan', 80.0), ('luang', 'luang', 100.0), ('isi', 'bising', 100.0), ('seru', 'seru', 100.0)]}"
rune nostalgia mantap kemarin tidak tambah rune nostalgia auto vakum tidak masuk akal sinergi hero sedikit tanding langsung end player mlbb bukan strategi hormat baharu commander ubah skill mlbb masuk rune nostalgia terimakasih,"['rune', 'nostalgia', 'hormat', 'mantap', 'tanding', 'tambah', 'akal', 'hero', 'commander', 'baharu']","{'effectiveness': 0.86, 'satisfaction': 1.91}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572)], 'satisfaction': [('mantap', 'mantap', 100.0), ('tambah', 'menambah', 90.9090909090909)]}"
haram jangan download bik haram,"['haram', 'jangan', 'download', 'bik']","{'effectiveness': 0.8, 'satisfaction': 2.6}",satisfaction,"{'effectiveness': [('jangan', 'dukungan', 80.0)], 'satisfaction': [('haram', 'harapan', 88.88888888888889), ('jangan', 'kesenangan', 90.9090909090909), ('bik', 'menarik', 80.0)]}"
jangan guys sakit ginjal entar monton tol,"['ginjal', 'jangan', 'guys', 'monton', 'sakit', 'tol', 'entar']","{'effectiveness': 2.6, 'satisfaction': 3.4}",satisfaction,"{'effectiveness': [('jangan', 'dukungan', 80.0), ('tol', 'pertolongan', 100.0), ('entar', 'kebenaran', 80.0)], 'satisfaction': [('jangan', 'kesenangan', 90.9090909090909), ('guys', 'bagus', 85.71428571428572), ('monton', 'monoton', 83.33333333333334), ('entar', 'tentram', 80.0)]}"
seru tapi legend tidak biyasanya,"['legend', 'tapi', 'tidak', 'biyasanya', 'seru']","{'effectiveness': 0.83, 'satisfaction': 2.71}",satisfaction,"{'effectiveness': [('legend', 'pengendalian', 83.33333333333334)], 'satisfaction': [('legend', 'lega', 85.71428571428572), ('tapi', 'mantap', 85.71428571428572), ('seru', 'seru', 100.0)]}"
main turun hoki kalah bagus atur tidak sesuai skil main suka menang,"['hoki', 'kalah', 'atur', 'turun', 'menang', 'skil', 'suka', 'sesuai', 'main', 'bagus']","{'effectiveness': 2.55, 'satisfaction': 4.57}",satisfaction,"{'effectiveness': [('kalah', 'masalah', 88.88888888888889), ('skil', 'hasil', 85.71428571428572), ('sesuai', 'selesai', 80.0)], 'satisfaction': [('turun', 'menurunkan', 80.0), ('menang', 'tenang', 90.9090909090909), ('suka', 'suka', 100.0), ('main', 'manfaat', 85.71428571428572), ('bagus', 'bagus', 100.0)]}"
tidak masuk akal tidak adil,"['adil', 'tidak', 'akal', 'masuk']","{'effectiveness': 1.66, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [('adil', 'detail', 85.71428571428572), ('masuk', 'maksud', 80.0)], 'satisfaction': [('adil', 'adil', 100.0), ('masuk', 'suka', 85.71428571428572)]}"
seru gaes,"['seru', 'gaes']","{'effectiveness': 0, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('seru', 'seru', 100.0), ('gaes', 'tegas', 85.71428571428572)]}"
mytich kocok hero tidak jelasgold susah alias miskin hadeuh heran pihak uninstall thx ngsih mytich,"['mytich', 'ngsih', 'hero', 'kocok', 'heran', 'hadeuh', 'pihak', 'jelasgold', 'thx', 'miskin']","{'effectiveness': 0.86, 'satisfaction': 3.58}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572)], 'satisfaction': [('ngsih', 'fungsi', 88.88888888888889), ('heran', 'terang', 80.0), ('pihak', 'memihak', 88.88888888888889), ('jelasgold', 'jelas', 100.0)]}"
bagus tapi sedikit bug,"['bug', 'sedikit', 'bagus', 'tapi']","{'effectiveness': 1.0, 'satisfaction': 3.55}",satisfaction,"{'effectiveness': [('bug', 'bug', 100.0)], 'satisfaction': [('bug', 'buruk', 80.0), ('sedikit', 'sedih', 88.88888888888889), ('bagus', 'bagus', 100.0), ('tapi', 'mantap', 85.71428571428572)]}"
gila,['gila'],"{'effectiveness': 0.8, 'satisfaction': 0}",effectiveness,"{'effectiveness': [('gila', 'lag', 80.0)], 'satisfaction': []}"
sistem win kalah kali sistem tolong tidak seru,"['kalah', 'win', 'sistem', 'tolong', 'tidak', 'seru', 'kali']","{'effectiveness': 2.75, 'satisfaction': 1.8}",effectiveness,"{'effectiveness': [('kalah', 'masalah', 88.88888888888889), ('tolong', 'pertolongan', 100.0), ('kali', 'kendali', 85.71428571428572)], 'satisfaction': [('win', 'yakin', 80.0), ('seru', 'seru', 100.0)]}"
kagak sambung akun tonton akun,"['akun', 'kagak', 'sambung', 'tonton']","{'effectiveness': 0.86, 'satisfaction': 0.83}",effectiveness,"{'effectiveness': [('akun', 'akurasi', 85.71428571428572)], 'satisfaction': [('tonton', 'monoton', 83.33333333333334)]}"
knapa tidak dgabung,"['tidak', 'knapa', 'dgabung']","{'effectiveness': 0.8, 'satisfaction': 0.8}",satisfaction,"{'effectiveness': [('knapa', 'mencapai', 80.0)], 'satisfaction': [('dgabung', 'gabut', 80.0)]}"
main bagus erti,"['bagus', 'main', 'erti']","{'effectiveness': 0, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0), ('main', 'manfaat', 85.71428571428572)]}"
hero tidak yhuzon hero gold tapi tidak arah mana janggal slot hero gold susah muncul rusak,"['hero', 'gold', 'tapi', 'tidak', 'yhuzon', 'mana', 'janggal', 'susah', 'muncul', 'arah']","{'effectiveness': 0.86, 'satisfaction': 3.57}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572)], 'satisfaction': [('tapi', 'mantap', 85.71428571428572), ('mana', 'manfaat', 85.71428571428572), ('susah', 'susah', 100.0), ('arah', 'setara', 85.71428571428572)]}"
dancok,['dancok'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
tolol card kangen pers mobile legend,"['card', 'mobile', 'legend', 'tolol', 'kangen', 'pers']","{'effectiveness': 3.35, 'satisfaction': 0.86}",effectiveness,"{'effectiveness': [('card', 'lancar', 85.71428571428572), ('legend', 'pengendalian', 83.33333333333334), ('tolol', 'pertolongan', 80.0), ('pers', 'pertolongan', 85.71428571428572)], 'satisfaction': [('legend', 'lega', 85.71428571428572)]}"
oke bosa ber nostalgia,"['nostalgia', 'oke', 'ber', 'bosa']","{'effectiveness': 1.6, 'satisfaction': 2.8}",satisfaction,"{'effectiveness': [('oke', 'ketepatan', 80.0), ('ber', 'eror', 80.0)], 'satisfaction': [('oke', 'kepuasan', 80.0), ('ber', 'bersemangat', 100.0), ('bosa', 'bosan', 100.0)]}"
dear developer tolong manajemen konten download data atur download data terima,"['download', 'developer', 'data', 'konten', 'manajemen', 'tolong', 'terima', 'atur', 'dear']","{'effectiveness': 1.0, 'satisfaction': 1.66}",satisfaction,"{'effectiveness': [('tolong', 'pertolongan', 100.0)], 'satisfaction': [('manajemen', 'aman', 85.71428571428572), ('terima', 'terang', 80.0)]}"
bug ambil imo nana gangotakk gagal win,"['gangotakk', 'bug', 'imo', 'gagal', 'nana', 'win', 'ambil']","{'effectiveness': 2.89, 'satisfaction': 4.0}",satisfaction,"{'effectiveness': [('bug', 'bug', 100.0), ('gagal', 'kegagalan', 100.0), ('ambil', 'stabil', 88.88888888888889)], 'satisfaction': [('gangotakk', 'ganggu', 80.0), ('bug', 'buruk', 80.0), ('imo', 'motivasi', 80.0), ('win', 'yakin', 80.0), ('ambil', 'tampilan', 80.0)]}"
seru nampol role susah orang sabar kuat,"['sabar', 'susah', 'kuat', 'orang', 'role', 'seru', 'nampol']","{'effectiveness': 0, 'satisfaction': 4.69}",satisfaction,"{'effectiveness': [], 'satisfaction': [('sabar', 'samar', 80.0), ('susah', 'susah', 100.0), ('kuat', 'kuat', 100.0), ('orang', 'curang', 88.88888888888889), ('seru', 'seru', 100.0)]}"
